"biogrid","entrez gene/locuslink","Human Readable Label","name","ncbi_gene_id","selected","shared name","Taxonomy ID","Taxonomy Name"
"115330","JM21|10013|HD6|PPP1R90|HDAC6|CPBHM","JM21","10013","10013","false","10013","9606",""
"109541","HSPA5|BIP|GRP78|MIF2|3309|HEL-S-89n","HSPA5","3309","3309","false","3309","9606",""
"116259","TPPP1|p25|p24|11076|TPPP/p25|TPPP|p25alpha","TPPP1","11076","11076","false","11076","9606",""
"109165","GRL|GCR|2908|GCCR|GR|NR3C1|GCRST","GRL","2908","2908","false","2908","9606",""
"121947","IIP45|MIIP|60672|RP5-1077B9.4","IIP45","60672","60672","false","60672","9606",""
"110700","MYD88D|4615|MYD88","MYD88D","4615","4615","false","4615","9606",""
"115448","G3BP1|G3BP|10146|HDH-VIII","G3BP1","10146","10146","false","10146","9606",""
"116593","SIR2|SIR2L2|22933|SIR2L|SIRT2","SIR2","22933","22933","false","22933","9606",""
"122970","79885|HDAC11|HD11","HDAC11","79885","79885","false","79885","9606",""
"120228","54880|MAA2|BCOR|ANOP2|MCOPS2","MAA2","54880","54880","false","54880","9606",""
"107308","CBF-alpha-1|CCD|OSF-2|PEA2aA|AML3|RUNX2|860|RP1-166H4.1|CCD1|CLCD|OSF2|PEBP2aA|CBFA1","CBF-alpha-1","860","860","false","860","9606",""
"107311","MTG16|ETO2|ZMYND4|MTGR2|863|CBFA2T3","MTG16","863","863","false","863","9606",""
"113498","ZBTB16|7704|PLZF|ZNF145","ZBTB16","7704","7704","false","7704","9606",""
"111903","IREL|5971|REL-B|RELB|I-REL","IREL","5971","5971","false","5971","9606",""
"115360","MRJ|MSJ-1|DJ4|HSJ2|DnaJ|HHDJ1|DNAJB6|HSJ-2|LGMD1D|tcag7.555|LGMD1E|10049","MRJ","10049","10049","false","10049","9606",""
"127919","DJ6|CT156|165721|DNAJB8","DJ6","165721","165721","false","165721","9606",""
"108276","PIG61|ERBB1|mENA|ERBB|HER1|NISBD2|1956|EGFR","PIG61","1956","1956","false","1956","9606",""
"113999","EEA1|MSTP105|MST105|8411|ZFYVE2","EEA1","8411","8411","false","8411","9606",""
"109338","PASD8|3091|bHLHe78|MOP1|HIF-1alpha|HIF-1A|HIF1A|HIF1|HIF1-ALPHA","PASD8","3091","3091","false","3091","9606",""
"110308","MSTD|PPND|FTDP-17|4137|TAU|MAPT|DDPAC|MTBT1|MTBT2|MAPTL|PPP1R103","MSTD","4137","4137","false","4137","9606",""
"109552","HSP90N|HSPCAL1|HSP90AA1|HSPCAL4|EL52|HSP89A|HSPN|3320|Hsp89|LAP-2|HSPC1|Hsp90|LAP2|HSP90A|HSP86|HSPCA","HSP90N","3320","3320","false","3320","9606",""
"107506","1080|tcag7.78|dJ760C5.1|CF|ABCC7|ABC35|MRP7|CFTR/MRP|TNR-CFTR|CFTR","tcag7.78","1080","1080","false","1080","9606",""
"111495","PPP1CC|PP1C|5501|PPP1G|PP-1G","PPP1CC","5501","5501","false","5501","9606",""
"109407","NR4A1|TR3|NAK-1|NP10|NUR77|NGFIB|3164|HMR|N10|GFRP1","NR4A1","3164","3164","false","3164","9606",""
"123559","AUNA1|81624|DIAPH3|mDia2|DIA2|RP11-26P21.1|DRF3|AN|NSDAN|diap3","AUNA1","81624","81624","false","81624","9606",""
"114206","LC8|LC8a|8655|PIN|DNCLC1|DLC1|hdlc1|DYNLL1|DNCL1|DLC8","LC8","8655","8655","false","8655","9606",""
"114012","8431|SHP1|SHP|NR0B2","SHP1","8431","8431","false","8431","9606",""
"110267","CRCS3|MADH7|MADH8|4092|SMAD7","CRCS3","4092","4092","false","4092","9606",""
"112717","6850|SYK|p72-Syk","SYK","6850","6850","false","6850","9606",""
"131483","RP11-506K6.1|TUBB2B|bA506K6.1|347733|PMGYSA","RP11-506K6.1","347733","347733","false","347733","9606",""
"113603","B-ALPHA-1|TUBA1A|TUBA3|7846|LIS3","B-ALPHA-1","7846","7846","false","7846","9606",""
"124093","84458|LCOR|MLR2","LCOR","84458","84458","false","84458","9606",""
"107460","CDKN1A|1026|CIP1|p21CIP1|CDKN1|WAF1|CAP20|P21|MDA-6|SDI1","CDKN1A","1026","1026","false","1026","9606",""
